time,open,high,low,close,tick_volume,spread,real_volume
2023-07-25 16:00:00,141.222,141.592,140.845,141.044,18810,15,0
2023-07-25 20:00:00,141.045,141.185,140.842,140.88,7940,15,0
2023-07-26 00:00:00,140.877,141.094,140.827,141.08,7052,15,0
2023-07-26 04:00:00,141.082,141.177,140.961,141.033,13380,15,0
2023-07-26 08:00:00,141.033,141.074,140.263,140.329,21587,15,0
2023-07-26 12:00:00,140.33,140.443,140.147,140.238,17441,15,0
2023-07-26 16:00:00,140.24,140.641,140.227,140.609,21891,15,0
2023-07-26 20:00:00,140.609,140.687,139.915,140.212,30063,15,0
2023-07-27 00:00:00,140.221,140.475,140.11,140.337,7902,15,0
2023-07-27 04:00:00,140.34,140.36,139.372,139.99,16367,15,0
2023-07-27 08:00:00,139.99,140.25,139.804,139.957,21404,15,0
2023-07-27 12:00:00,139.954,140.768,139.88,140.71,24630,15,0
2023-07-27 16:00:00,140.712,141.312,140.578,141.078,29375,15,0
2023-07-27 20:00:00,141.076,141.088,138.756,139.358,31952,15,0
2023-07-28 00:00:00,139.359,139.502,138.694,139.466,16889,15,0
2023-07-28 04:00:00,139.466,141.071,138.053,138.757,41499,15,0
2023-07-28 08:00:00,138.757,140.056,138.542,139.684,49314,15,0
2023-07-28 12:00:00,139.686,140.08,138.842,139.936,32601,15,0
2023-07-28 16:00:00,139.937,140.895,139.937,140.851,29956,15,0
2023-07-28 20:00:00,140.849,141.174,140.744,141.154,12760,15,0
2023-07-31 00:00:00,140.903,141.141,140.681,140.893,11798,15,0
2023-07-31 04:00:00,140.891,141.938,140.819,141.87,28354,15,0
2023-07-31 08:00:00,141.872,142.485,141.566,142.407,28818,15,0
2023-07-31 12:00:00,142.411,142.453,142.065,142.254,21614,15,0
2023-07-31 16:00:00,142.254,142.678,141.997,142.109,30482,15,0
2023-07-31 20:00:00,142.105,142.298,142.04,142.259,14116,15,0
2023-08-01 00:00:00,142.259,142.494,142.195,142.49,7883,15,0
2023-08-01 04:00:00,142.488,142.834,142.426,142.713,22283,15,0
2023-08-01 08:00:00,142.715,142.807,142.516,142.679,21821,15,0
2023-08-01 12:00:00,142.685,143.283,142.606,143.259,21620,15,0
2023-08-01 16:00:00,143.26,143.462,142.869,143.383,25774,15,0
2023-08-01 20:00:00,143.383,143.536,143.3,143.321,9889,15,0
2023-08-02 00:00:00,143.312,143.312,142.665,143.073,13011,15,0
2023-08-02 04:00:00,143.073,143.339,142.927,142.985,17918,15,0
2023-08-02 08:00:00,142.984,142.985,142.227,142.332,28368,15,0
2023-08-02 12:00:00,142.332,143.203,142.3,143.171,21944,15,0
2023-08-02 16:00:00,143.173,143.468,143.022,143.153,31474,15,0
2023-08-02 20:00:00,143.152,143.411,143.05,143.304,14591,15,0
2023-08-03 00:00:00,143.315,143.405,143.183,143.341,7359,15,0
2023-08-03 04:00:00,143.341,143.726,143.157,143.685,23479,15,0
2023-08-03 08:00:00,143.682,143.881,142.788,142.835,37331,15,0
2023-08-03 12:00:00,142.836,143.049,142.492,142.7,32413,15,0
2023-08-03 16:00:00,142.702,142.848,142.056,142.506,38143,15,0
2023-08-03 20:00:00,142.504,142.739,142.474,142.51,9373,15,0
2023-08-04 00:00:00,142.52,142.874,142.442,142.725,7630,15,0
2023-08-04 04:00:00,142.727,142.738,142.305,142.477,20883,15,0
2023-08-04 08:00:00,142.482,142.715,142.342,142.653,20470,15,0
2023-08-04 12:00:00,142.651,142.873,142.133,142.237,26772,15,0
2023-08-04 16:00:00,142.239,142.252,141.543,141.83,31277,15,0
2023-08-04 20:00:00,141.829,141.878,141.641,141.685,9653,15,0
