time,open,high,low,close,tick_volume,spread,real_volume
2023-07-25 16:00:00,0.62246,0.62256,0.62013,0.62155,14018,25,0
2023-07-25 20:00:00,0.62153,0.62282,0.62141,0.62197,6304,25,0
2023-07-26 00:00:00,0.62026,0.62226,0.6191,0.62127,5911,25,0
2023-07-26 04:00:00,0.62127,0.62174,0.61811,0.62144,12999,25,0
2023-07-26 08:00:00,0.62145,0.62317,0.6213,0.62186,13011,25,0
2023-07-26 12:00:00,0.62186,0.62252,0.62026,0.62048,9288,25,0
2023-07-26 16:00:00,0.62047,0.62164,0.62002,0.62024,12708,25,0
2023-07-26 20:00:00,0.62025,0.62337,0.61921,0.6207,18771,25,0
2023-07-27 00:00:00,0.62093,0.62289,0.62046,0.6228,6186,25,0
2023-07-27 04:00:00,0.62281,0.62723,0.62274,0.62542,10910,25,0
2023-07-27 08:00:00,0.62541,0.62578,0.62355,0.62536,11025,25,0
2023-07-27 12:00:00,0.62535,0.62611,0.62298,0.62362,12211,25,0
2023-07-27 16:00:00,0.62361,0.62376,0.61898,0.62026,18355,25,0
2023-07-27 20:00:00,0.62026,0.62152,0.61734,0.6181,14311,25,0
2023-07-28 00:00:00,0.61808,0.61918,0.61723,0.61723,3623,25,0
2023-07-28 04:00:00,0.61723,0.61812,0.61474,0.61504,16274,25,0
2023-07-28 08:00:00,0.61504,0.61675,0.61197,0.61314,17485,25,0
2023-07-28 12:00:00,0.61314,0.61801,0.61312,0.61574,14049,25,0
2023-07-28 16:00:00,0.61573,0.61705,0.61413,0.61625,15048,25,0
2023-07-28 20:00:00,0.61624,0.6164,0.61487,0.61532,6374,25,0
2023-07-31 00:00:00,0.61413,0.6164,0.61341,0.61633,5687,25,0
2023-07-31 04:00:00,0.61631,0.61907,0.6161,0.61887,10846,25,0
2023-07-31 08:00:00,0.61886,0.6204,0.6183,0.61914,11529,25,0
2023-07-31 12:00:00,0.61915,0.62076,0.61858,0.61999,10654,25,0
2023-07-31 16:00:00,0.61999,0.62244,0.61914,0.62195,12916,25,0
2023-07-31 20:00:00,0.62195,0.62207,0.62061,0.62071,5222,25,0
2023-08-01 00:00:00,0.62073,0.62158,0.61809,0.62056,3351,25,0
2023-08-01 04:00:00,0.62057,0.62075,0.61787,0.61913,12749,25,0
2023-08-01 08:00:00,0.61914,0.61966,0.6152,0.6158,12866,25,0
2023-08-01 12:00:00,0.6158,0.61655,0.61355,0.61381,12856,25,0
2023-08-01 16:00:00,0.61383,0.61658,0.61302,0.61338,15002,25,0
2023-08-01 20:00:00,0.61338,0.61501,0.61299,0.61475,6235,25,0
2023-08-02 00:00:00,0.61432,0.6168,0.61238,0.61303,7892,25,0
2023-08-02 04:00:00,0.61303,0.61385,0.60993,0.6103,13002,25,0
2023-08-02 08:00:00,0.61029,0.61131,0.60922,0.61115,13680,25,0
2023-08-02 12:00:00,0.61113,0.61219,0.60902,0.60919,14918,25,0
2023-08-02 16:00:00,0.60922,0.60971,0.60673,0.60872,16605,25,0
2023-08-02 20:00:00,0.60872,0.60917,0.60748,0.60788,7481,25,0
2023-08-03 00:00:00,0.60765,0.60866,0.60668,0.60805,4669,25,0
2023-08-03 04:00:00,0.60804,0.60901,0.60636,0.60686,13064,25,0
2023-08-03 08:00:00,0.60685,0.60795,0.60604,0.60669,18138,25,0
2023-08-03 12:00:00,0.6067,0.6092,0.60668,0.60762,16237,25,0
2023-08-03 16:00:00,0.60761,0.60962,0.60592,0.60883,17250,25,0
2023-08-03 20:00:00,0.60883,0.60889,0.60633,0.60758,6906,25,0
2023-08-04 00:00:00,0.6076,0.60924,0.60738,0.6092,4802,25,0
2023-08-04 04:00:00,0.60919,0.61015,0.60847,0.60884,13390,25,0
2023-08-04 08:00:00,0.60885,0.6096,0.60766,0.60769,11317,25,0
2023-08-04 12:00:00,0.60767,0.6108,0.60679,0.60996,13312,25,0
2023-08-04 16:00:00,0.60995,0.6132,0.60986,0.61265,17928,25,0
2023-08-04 20:00:00,0.61264,0.61274,0.60881,0.60961,8534,25,0
2023-08-07 00:00:00,0.60836,0.61074,0.60814,0.61069,5123,25,0
2023-08-07 04:00:00,0.61069,0.61126,0.60966,0.61009,7308,25,0
2023-08-07 08:00:00,0.6101,0.61105,0.60853,0.60906,10526,25,0
2023-08-07 12:00:00,0.60907,0.611,0.60836,0.61094,9931,25,0
2023-08-07 16:00:00,0.61095,0.61157,0.60854,0.61001,10230,25,0
2023-08-07 20:00:00,0.61001,0.61081,0.60965,0.6105,5781,25,0
2023-08-08 00:00:00,0.61056,0.61086,0.60984,0.61029,4851,25,0
2023-08-08 04:00:00,0.6103,0.6103,0.607,0.60778,10535,25,0
