pair,accuracy,f1_macro
AUDUSD,1.0,1.0
EURUSD,1.0,1.0
GBPUSD,1.0,1.0
NZDUSD,1.0,1.0
USDNOK,1.0,1.0
USDHKD,0.9983164983164983,0.9982096133288573
USDCHF,0.9983164983164983,0.9979311887690573
USDSEK,0.9932659932659933,0.9945038670396578
USDCAD,0.9949494949494949,0.9907379561094384
