pair,accuracy,f1_macro
NZDUSD,0.9543147208121827,0.9550194101728327
USDCAD,0.9526226734348562,0.9531087995874484
GBPUSD,0.9560067681895094,0.952319211512988
USDNOK,0.9424703891708968,0.9456207234256754
USDHKD,0.9475465313028765,0.9438396567574673
AUDUSD,0.9357021996615905,0.9379979639337043
USDSEK,0.9407783417935702,0.9364884609059795
USDCHF,0.9357021996615905,0.927726705132065
EURUSD,0.9289340101522843,0.9232323427745963
